CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,Investment Rate,High Yield,Interest Payment Frequency,Interest Rate
91282CKW0,Note,7-Year,06/27/2024,07/01/2024,06/30/2031,99.843947,,0.04276,Semi-Annual,0.0425
912797LV7,Bill,17-Week,06/26/2024,07/02/2024,10/29/2024,98.274500,0.05385,,None,
91282CKX8,Note,5-Year,06/26/2024,07/01/2024,06/30/2029,99.639266,,0.04331,Semi-Annual,0.0425
91282CKM2,Note,1-Year 10-Month,06/26/2024,06/28/2024,04/30/2026,99.986731,,,Quarterly,
91282CKY6,Note,2-Year,06/25/2024,07/01/2024,06/30/2026,99.847007,,0.04706,Semi-Annual,0.04625
912797GK7,Bill,42-Day,06/25/2024,06/27/2024,08/08/2024,99.387500,0.05356,,None,
912797KM8,Bill,13-Week,06/24/2024,06/27/2024,09/26/2024,98.676708,0.05379,,None,
912796ZV4,Bill,26-Week,06/24/2024,06/27/2024,12/26/2024,97.401444,0.0535,,None,
91282CKL4,Note,4-Year 10-Month,06/20/2024,06/28/2024,04/15/2029,101.674989,,0.0205,Semi-Annual,0.02125
912797KQ9,Bill,4-Week,06/20/2024,06/25/2024,07/23/2024,99.593222,0.05324,,None,
912797KY2,Bill,8-Week,06/20/2024,06/25/2024,08/20/2024,99.181778,0.05377,,None,
912797LU9,Bill,17-Week,06/20/2024,06/25/2024,10/22/2024,98.274500,0.05385,,None,
912810UB2,Bond,19-Year 11-Month,06/18/2024,07/01/2024,05/15/2044,102.256474,,0.04452,Semi-Annual,0.04625
912797JU2,Bill,42-Day,06/17/2024,06/20/2024,08/01/2024,99.385167,0.05376,,None,
912797KL0,Bill,13-Week,06/17/2024,06/20/2024,09/19/2024,98.672917,0.05395,,None,
912797LQ8,Bill,26-Week,06/17/2024,06/20/2024,12/19/2024,97.396389,0.05361,,None,
912797KP1,Bill,4-Week,06/13/2024,06/18/2024,07/16/2024,99.590889,0.05355,,None,
912797KX4,Bill,8-Week,06/13/2024,06/18/2024,08/13/2024,99.181000,0.05382,,None,
912810UA4,Bond,29-Year 11-Month,06/13/2024,06/17/2024,05/15/2054,103.664251,,0.04403,Semi-Annual,0.04625
912797LT2,Bill,17-Week,06/12/2024,06/18/2024,10/15/2024,98.274500,0.05385,,None,
91282CKQ3,Note,9-Year 11-Month,06/11/2024,06/17/2024,05/15/2034,99.492212,,0.04438,Semi-Annual,0.04375
912797JT5,Bill,42-Day,06/11/2024,06/13/2024,07/25/2024,99.385167,0.05376,,None,
912797LN5,Bill,52-Week,06/11/2024,06/13/2024,06/12/2025,95.030389,0.05177,,None,
91282CKV2,Note,3-Year,06/10/2024,06/17/2024,06/15/2027,99.905415,,0.04659,Semi-Annual,0.04625
912797KK2,Bill,13-Week,06/10/2024,06/13/2024,09/12/2024,98.672917,0.05395,,None,
912797LP0,Bill,26-Week,06/10/2024,06/13/2024,12/12/2024,97.388806,0.05377,,None,
912797KN6,Bill,4-Week,06/06/2024,06/11/2024,07/09/2024,99.590111,0.05365,,None,
912797KW6,Bill,8-Week,06/06/2024,06/11/2024,08/06/2024,99.181000,0.05382,,None,
912797LS4,Bill,17-Week,06/05/2024,06/11/2024,10/08/2024,98.272847,0.05391,,None,
912797JS7,Bill,42-Day,06/04/2024,06/06/2024,07/18/2024,99.384583,0.05381,,None,
912797GL5,Bill,13-Week,06/03/2024,06/06/2024,09/05/2024,98.672917,0.05395,,None,
912797LF2,Bill,26-Week,06/03/2024,06/06/2024,12/05/2024,97.393861,0.05366,,None,
912797KH9,Bill,4-Week,05/30/2024,06/04/2024,07/02/2024,99.590111,0.05365,,None,
912797KR7,Bill,8-Week,05/30/2024,06/04/2024,07/30/2024,99.179444,0.05393,,None,
912797LK1,Bill,17-Week,05/29/2024,06/04/2024,10/01/2024,98.267889,0.05406,,None,
91282CKM2,Note,1-Year 11-Month,05/29/2024,05/31/2024,04/30/2026,100.015826,,,Quarterly,
91282CKU4,Note,7-Year,05/29/2024,05/31/2024,05/31/2031,99.852076,,0.0465,Semi-Annual,0.04625
91282CKS9,Note,2-Year,05/28/2024,05/31/2024,05/31/2026,99.920920,,0.04917,Semi-Annual,0.04875
91282CKT7,Note,5-Year,05/28/2024,05/31/2024,05/31/2029,99.765369,,0.04553,Semi-Annual,0.045
912797GB7,Bill,42-Day,05/28/2024,05/30/2024,07/11/2024,99.384583,0.05381,,None,
912797KD8,Bill,13-Week,05/28/2024,05/30/2024,08/29/2024,98.671653,0.054,,None,
912797HP5,Bill,26-Week,05/28/2024,05/30/2024,11/29/2024,97.371917,0.05383,,None,
91282CJY8,Note,9-Year 8-Month,05/23/2024,05/31/2024,01/15/2034,97.775994,,0.02184,Semi-Annual,0.0175
912797KG1,Bill,4-Week,05/23/2024,05/28/2024,06/25/2024,99.590111,0.05365,,None,
912797KQ9,Bill,8-Week,05/23/2024,05/28/2024,07/23/2024,99.179444,0.05393,,None,
912810UB2,Bond,20-Year,05/22/2024,05/31/2024,05/15/2044,99.866542,,0.04635,Semi-Annual,0.04625
912797LJ4,Bill,17-Week,05/22/2024,05/28/2024,09/24/2024,98.269542,0.05401,,None,
912796Y52,Bill,43-Day,05/21/2024,05/23/2024,07/05/2024,99.370528,0.05377,,None,
